id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,AMRO,amro,.,1,.,.,.,1,B,b,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,HOWR,howr,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,COGR,cogr,.,.,.,1,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,COGR,cogr,.,.,.,1,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,GRCA,grca,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,EUST,eust,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-3,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,3,AMRO,amro,.,1,.,.,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,AMRO,amro,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,AMRO,amro,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,EUST,eust,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
