hub,site,observerPc,date,startTimePc,timePc,speciesPc,species_format,distancePc,countPc,detectionPc,notesPc
DC,ODELVINMD2,JLM,6/20/2016,7:03,3,CARW,CARW,31-40,1,Auditory,.
DC,ODELVINMD2,JLM,6/20/2016,7:03,2,AMCR,AMCR,11-20 ,1,Auditory,.
DC,ODELVINMD2,JLM,6/20/2016,7:03,5,DOWO,DOWO,31-40,1,Auditory,.
DC,ODELVINMD2,JLM,6/20/2016,7:03,5,AMGO,AMGO,21-30,1,Auditory,.
DC,ODELVINMD2,JLM,6/20/2016,7:03,5,NOCA,NOCA,0-10,1,Both,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,MODO,MODO,0-10,1,Visual,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,NOCA,NOCA,0-10,1,Visual,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,HOSP,HOSP,0-10,1,Both,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,HOWR,HOWR,11-20 ,1,Auditory,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,HOFI,HOFI,0-10,2,Both,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,SOSP,SOSP,41-50,1,Auditory,.
DC,SINGVIRDC1,JLM,6/21/2016,.,3,CARW,CARW,41-50,1,Auditory,.
DC,SINGVIRDC1,JLM,6/21/2016,.,5,SOSP,SOSP,11-20 ,1,Auditory,.
DC,SINGVIRDC1,JLM,6/21/2016,.,5,COGR,COGR,0-10,1,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,MODO,MODO,31-40,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,COGR,COGR,0-10,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,HOWR,HOWR,41-50,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,HOFI,HOFI,0-10,1,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,HOSP,HOSP,0-10,2,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,HOSP,HOSP,11-20 ,1,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,GRCA,GRCA,11-20 ,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,3,EUST,EUST,21-30,1,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,2,AMRO,AMRO,11-20 ,1,Visual,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,2,BLJA,BLJA,41-50,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,2,NOCA,NOCA,11-20 ,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,2,NOCA,NOCA,21-30,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,5,NOCA,NOCA,0-10,4,Both,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,5,MODO,MODO,11-20 ,2,Both,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,5,GRCA,GRCA,11-20 ,1,Auditory,.
DC,MANNJANDC1,KPK,6/21/2016,7:09,5,AMRO,AMRO,21-30,1,Visual,.
DC,CYMRHELDC1,AEH,5/17/2016,.,3,HOSP,HOSP,11-20 ,2,Auditory,.
DC,CYMRHELDC1,AEH,5/17/2016,.,3,HOSP,HOSP,0-10,2,Both,.
DC,CYMRHELDC1,AEH,5/17/2016,.,2,HOSP,HOSP,0-10,1,Auditory,.
DC,CYMRHELDC1,AEH,5/17/2016,.,5,NOCA,NOCA,41-50,1,Auditory,.
DC,CYMRHELDC1,AEH,5/17/2016,.,5,AMRO,AMRO,41-50,1,Auditory,.
DC,CYMRHELDC1,AEH,5/17/2016,.,5,HOSP,HOSP,0-10,1,Visual,.
DC,CYMRHELDC1,AEH,5/17/2016,.,5,AMCR,AMCR,41-50,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,HOWR,HOWR,0-10,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,NOCA,NOCA,11-20 ,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,RWBL,RWBL,31-40,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,RWBL,RWBL,41-50,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,SOSP,SOSP,31-40,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,GRCA,GRCA,0-10,3,Both,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,3,AMRO,AMRO,0-10,1,Visual,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,2,AMRO,AMRO,11-20 ,2,Both,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,2,AMRO,AMRO,31-40,1,Both,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,5,AMCR,AMCR,31-40,2,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,5,NOCA,NOCA,21-30,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,5,NOCA,NOCA,41-50,1,Auditory,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,5,HOSP,HOSP,11-20 ,3,Both,.
DC,FREYFREMD1,KPK,6/22/2016,7:04,5,SOSP,SOSP,21-30,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,AMGO,AMGO,0-10,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,MODO,MODO,21-30,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,NOCA,NOCA,11-20 ,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,NOCA,NOCA,31-40,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,HOWR,HOWR,0-10,1,Both,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,CARW,CARW,41-50,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,EWPW,EAWP,31-40,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,AMRO,AMRO,11-20 ,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,3,HOWR,HOWR,21-30,1,Auditory,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,2,NOCA,NOCA,0-10,2,Both,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,5,EABL,EABL,0-10,1,Visual,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,5,GRCA,GRCA,11-20 ,1,Visual,.
DC,VOSSCOLVA1,JLM,6/24/2016,6:56,5,WBNU,WBNU,11-20 ,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,CHSP,CHSP,0-10,1,Both,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,AMCR,AMCR,21-30,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,NOCA,NOCA,21-30,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,SOSP,SOSP,41-50,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,HOWR,HOWR,21-30,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,AMGO,AMGO,41-50,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,TUTI,TUTI,41-50,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,3,BLJA,BLJA,41-50,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,2,SOSP,SOSP,11-20 ,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,5,CARW,CARW,41-50,1,Auditory,.
DC,ANDRKENVA1,JLM,6/27/2016,6:56,5,TUTI,TUTI,11-20 ,1,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,3,TUTI,TUTI,0-10,2,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,3,EWPW,EAWP,41-50,1,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,3,AMRO,AMRO,11-20 ,1,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,3,CACH,CACH,0-10,1,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,3,WBNU,WBNU,0-10,1,Both,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,2,EAPH,EAPH,0-10,1,Both,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,5,NOCA,NOCA,21-30,1,Auditory,.
DC,BALASUCMD1,JLM,6/25/2016,6:51,5,CARW,CARW,41-50,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,NOCA,NOCA,0-10,3,Both,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,NOCA,NOCA,11-20 ,1,Both,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,NOCA,NOCA,41-50,1,Both,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,GRCA,GRCA,21-30,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,CACH,CACH,11-20 ,1,Visual,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,SOSP,SOSP,41-50,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,3,MODO,MODO,41-50,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,2,SOSP,SOSP,11-20 ,2,Visual,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,2,TUTI,TUTI,11-20 ,1,Visual,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,5,NOCA,NOCA,21-30,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,5,CHSP,CHSP,31-40,1,Auditory,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,5,BLJA,BLJA,11-20 ,1,Visual,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,5,NOCA,NOCA,11-20 ,3,Visual,.
DC,MULLJOYVA1,KPK,6/24/2016,7:01,5,RBWO,RBWO,11-20 ,1,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,CACH,CACH,0-10,3,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,NOCA,NOCA,0-10,2,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,NOCA,NOCA,11-20 ,1,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,NOCA,NOCA,31-40,1,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,MODO,MODO,11-20 ,1,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,SOSP,SOSP,11-20 ,1,Auditory,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,HOFI,HOFI,0-10,1,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,HOSP,HOSP,0-10,2,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,3,HOWR,HOWR,0-10,1,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,2,DOWO,DOWO,0-10,1,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,2,NOCA,NOCA,0-10,2,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,2,MODO,MODO,31-40,1,Auditory,.
DC,GECACARVA1,KPK,6/25/2016,7:00,5,NOMO,NOMO,11-20 ,2,Both,.
DC,GECACARVA1,KPK,6/25/2016,7:00,5,YSFL,NOFL,0-10,1,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,5,YSFL,NOFL,11-20 ,1,Visual,.
DC,GECACARVA1,KPK,6/25/2016,7:00,5,SOSP,SOSP,31-40,1,Auditory,.
DC,GECACARVA1,KPK,6/25/2016,7:00,5,COGR,COGR,21-30,2,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,NOCA,NOCA,11-20 ,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,NOCA,NOCA,31-40,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,SOSP,SOSP,11-20 ,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,HOSP,HOSP,21-30,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,HOSP,HOSP,0-10,2,Visual,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,CARW,CARW,41-50,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,AMCR,AMCR,41-50,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,AMRO,AMRO,0-10,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,3,CHSW,CHSW,11-20 ,3,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,2,MODO,MODO,21-30,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,2,MODO,MODO,0-10,2,Visual,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,5,GRCA,GRCA,41-50,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,5,DOWO,DOWO,11-20 ,1,Auditory,.
DC,BOSCJOEDC1,JLM,6/28/2016,7:00,5,RBWO,RBWO,0-10,1,Auditory,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,TUTI,TUTI,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,GRCA,GRCA,0-10,2,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,NOCA,NOCA,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,AMCR,AMCR,21-30,1,Auditory,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,RODO,RODO,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,SOSP,SOSP,21-30,1,Auditory,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,HOWR,HOWR,11-20 ,1,Both,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,HOSP,HOSP,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,AMRO,AMRO,21-30,2,Both,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,3,HOFI,HOFI,11-20 ,1,Auditory,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,GRCA,GRCA,0-10,2,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,NOCA,NOCA,0-10,1,Both,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,NOCA,NOCA,11-20 ,1,Both,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,NOCA,NOCA,21-30,1,Both,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,HOSP,HOSP,0-10,4,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,2,EUST,EUST,0-10,3,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,5,SOSP,SOSP,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,5,TUTI,TUTI,21-30,1,Auditory,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,5,NOCA,NOCA,0-10,1,Visual,.
DC,LAFOMELVA1,KPK,6/27/2016,7:07,5,MODO,MODO,11-20 ,1,Visual,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,3,NOCA,NOCA,11-20 ,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,3,WOTH,WOTH,31-40,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,3,WOTH,WOTH,41-50,2,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,3,SCTA,SCTA,21-30,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,3,ALFL,ALFL,11-20 ,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,2,CARW,CARW,41-50,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,5,NOCA,NOCA,21-30,1,Auditory,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,5,GCFL,GCFL,11-20 ,1,Visual,.
DC,MEGOPATMD2,KPK,6/28/2016,7:03,5,EWPW,EAWP,31-40,1,Auditory,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,3,NOCA,NOCA,41-50,1,Auditory,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,3,HOSP,HOSP,0-10,1,Both,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,3,EAWP,EAWP,41-50,1,Visual,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,2,REVI,REVI,41-50,1,Auditory,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,2,MODO,MODO,41-50,1,Visual,.
DC,RCPSMBCDC1,ERF,6/29/2016,8:57,5,EUST,EUST,41-50,2,Both,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,AMRO,AMRO,11-20 ,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,HOWR,HOWR,31-40,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,SOSP,SOSP,11-20 ,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,HOSP,HOSP,31-40,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,TUTI,TUTI,21-30,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,HOWR,HOWR,0-10,3,Both,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,3,NOCA,NOCA,41-50,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,2,AMRO,AMRO,0-10,1,Both,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,2,GRCA,GRCA,0-10,1,Visual,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,2,CACH,CACH,41-50,1,Auditory,.
DC,OWENKATMD1,JLM,6/30/2016,6:57,5,CARW,CARW,31-40,1,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,EAWP,EAWP,31-40,1,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,EAWP,EAWP,41-50,1,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,TUTI,TUTI,11-20 ,1,Both,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,TUTI,TUTI,21-30,2,Both,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,HOWR,HOWR,21-30,2,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,CACH,CACH,0-10,1,Visual,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,3,NOCA,NOCA,21-30,1,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,2,DOWO,DOWO,21-30,1,Visual,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,2,GRCA,GRCA,11-20 ,1,Auditory,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,5,RBWO,RBWO,21-30,2,Visual,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,5,RBWO,RBWO,41-50,1,Visual,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,5,AMRO,AMRO,11-20 ,1,Both,.
DC,BLANBETMD1,KPK,6/30/2016,7:01,5,CACH,CACH,31-40,1,Visual,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,GRCA,GRCA,11-20 ,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,SOSP,SOSP,0-10,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,NOCA,NOCA,0-10,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,HOWR,HOWR,21-30,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,NOCA,NOCA,21-30,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,HOWR,HOWR,0-10,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,CARW,CARW,31-40,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,AMRO,AMRO,0-10,1,Both,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,AMCR,AMCR,31-40,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,3,EUST,EUST,0-10,1,Auditory,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,2,DOWO,DOWO,0-10,1,Visual,.
DC,YOUNELIMD1,JLM,7/1/2016,6:57,2,RBWO,RBWO,41-50,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,WOTH,WOTH,31-40,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,RBWO,RBWO,41-50,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,EAWP,EAWP,11-20 ,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,EAWP,EAWP,21-30,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,CARW,CARW,31-40,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,CARW,CARW,41-50,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,RTHU,RTHU,21-30,1,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,HOFI,HOFI,21-30,3,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,COGR,COGR,21-30,1,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,3,MODO,MODO,21-30,1,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,2,CACH,CACH,0-10,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,2,CACH,CACH,21-30,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,WBNU,WBNU,41-50,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,CACH,CACH,31-40,1,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,RWBL,RWBL,21-30,3,Auditory,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,BLJA,BLJA,11-20 ,1,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,RBWO,RBWO,11-20 ,1,Visual,.
DC,KNIGSALVA1,KPK,7/1/2016,7:09,5,TUTI,TUTI,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,HOFI,HOFI,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,CACH,CACH,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,HOWR,HOWR,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,NOCA,NOCA,0-10,2,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,HOFI,HOFI,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,EAPH,EAPH,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,EAWP,EAWP,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,DOWO,DOWO,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,RBWO,RBWO,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,3,RBWO,RBWO,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,2,WBNU,WBNU,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,2,NOCA,NOCA,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,2,TUTI,TUTI,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,2,WBNU,WBNU,0-10,1,Visual,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,5,BLJA,BLJA,41-50,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,5,CACH,CACH,0-10,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,5,GRCA,GRCA,11-20 ,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,5,CARW,CARW,21-30,1,Auditory,.
DC,CAUSSUSMD1,MAR,7/5/2016,7:07,5,CHSP,CHSP,31-40,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,HOSP,HOSP,0-10,2,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,HOWR,HOWR,21-30,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,HOWR,HOWR,41-50,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,NOMO,NOMO,21-30,2,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,MODO,MODO,21-30,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,MODO,MODO,31-40,2,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,3,SOSP,SOSP,41-50,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,2,YSFL,NOFL,31-40,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,2,YSFL,NOFL,41-50,1,Auditory,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,2,AMRO,AMRO,31-40,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,2,EUST,EUST,31-40,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,HOSP,HOSP,11-20 ,1,Both,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,HOSP,HOSP,21-30,1,Both,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,CHSW,CHSW,0-10,2,Both,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,HOFI,HOFI,11-20 ,2,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,HOFI,HOFI,21-30,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,BHCO,BHCO,21-30,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,NOCA,NOCA,31-40,1,Visual,.
DC,FARYSIMMD1,KPK,7/2/2016,6:59,5,CARW,CARW,41-50,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,RBWO,RBWO,11-20 ,1,Auditory,"Drizzling, but dry in backyard under tree canopy during pt count; could not complete site visit due to nonstop rain."
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,AMRO,AMRO,11-20 ,2,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,REVI,REVI,0-10,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,CACH,CACH,11-20 ,1,Both,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,CACH,CACH,31-40,1,Both,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,AMCR,AMCR,41-50,2,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,TUTI,TUTI,21-30,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,NOCA,NOCA,21-30,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,3,DOWO,DOWO,41-50,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,2,HOWR,HOWR,41-50,1,Auditory,.
DC,BUISNORVA1,ERF,5/17/2016,7:27,5,RWBL,RWBL,41-50,1,Auditory,.
