plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
viburnum koreanspice,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
viburnum lantana,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
viburnum nudum,viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
viburnum plicatum,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
viburnum sp.,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
virginia creeper,parthenocissus,native,native,deciduous,Vitaceae,32,0,32,parthenocissus-native,32,,native,native
virginia pine,pinus,native,native,conifer,Pinaceae,201,10,191,pinus-native,201,,native congener,native
virginia spirea,spirea,native,native,deciduous,Rosaceae,92,3,89,spirea-native,92,,native congener,native
virginia sweetspire,itea,native,native,deciduous,Grossulariaceae,0,0,0,itea-native,0,,native,native
water oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
wax myrtle,myrica,native,native,evergreen,Myricaceae,108,2,106,myrica-native,108,,native,native
weeping cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
weeping willow,salix,non-native,native,deciduous,Salicaceae,455,15,440,salix-exotic,81.9,,exotic congener,exotic congener
weigela,weigela,non-native,non-native,deciduous,Caprifoliaceae,2,0,2,weigela-exotic,2,,exotic,exotic
western red cedar,thuja,non-native,native,conifer,Cupressaceae,50,2,48,thuja-exotic,9,,exotic congener,exotic congener
white mulberry,morus,non-native,native,deciduous,Moraceae,9,3,6,morus-exotic,1.62,,exotic,exotic congener
white oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
white pine,pinus,native,native,conifer,Pinaceae,201,10,191,pinus-native,201,,native congener,native
wiegla (varigated),wiegla,non-native,non-native,deciduous,Caprifoliaceae,2,0,2,weigela-exotic,2,,exotic,exotic
wiegla (wine and roses),wiegla,non-native,non-native,deciduous,Caprifoliaceae,2,0,2,weigela-exotic,2,,exotic,exotic
willow oak,quercus,native,native,deciduous,Fagaceae,532,14,518,quercus-native,532,,native congener,native
willow sp.,salix,unknown,native,deciduous,Salicaceae,455,15,440,salix-unknown,455,,unknown,unknown
wineberry,rubus,non-native,native,deciduous,rosaceae,163,12,151,rubus-exotic,29.34,,exotic congener,exotic congener
winged sumac,rhus,native,native,deciduous,Anacardiaceae,58,4,54,rhus-native,58,,native,native
winterberry,ilex,native,native,deciduous,aquifoliaceae,39,5,34,ilex-native,39,,native congener,native
wintercreeper,euonymus,non-native,native,deciduous,Celastraceae,11,5,6,euonymus-exotic,1.98,,exotic congener,exotic congener
wintergreen barberry,berberis,non-native,native,evergreen,Berberidaceae,12,1,11,berberis-exotic,2.16,chinese barberry,exotic,exotic congener
wisteria,wisteria,non-native,native,deciduous,Fabaceae,19,1,18,wisteria-exotic,3.42,,exotic congener,exotic congener
witchhazel,hamamelis,native,native,deciduous,Hamamelidaceae,63,1,62,hamamelis-native,63,,native congener,native
witchhazel (chinese),hamamelis,non-native,native,deciduous,Hamamelidaceae,63,1,62,hamamelis-exotic,11.34,,exotic congener,exotic congener
yellowwood,cladrastis,native,native,deciduous,Fabacaeae,0,0,0,cladrastis-native,0,,native,native
yew,taxus,non-native,native,conifer,Taxaceae,8,3,5,taxus-exotic,1.44,,exotic,exotic congener
yucca,yucca,other,.,.,.,.,.,.,.,.,,other,other
zelkova,zelkova,non-native,non-native,deciduous,Ulmaceae,0,0,0,zelkova-exotic,0,,exotic,exotic
