plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
honeysuckle,lonicera,non-native,native,deciduous,Caprifoliaceae,37,4,33,lonicera-exotic,6.66,,exotic congener,exotic congener
honeysuckle (native),lonicera,native,native,deciduous,Caprifoliaceae,37,4,33,lonicera-native,37,,native congener,native
hophornbeam,ostrya,native,native,deciduous,Betulaceae,98,3,95,ostrya -native,98,,native congener,native
hornbeam,carpinus,native,native,deciduous,Betulaceae,68,2,66,carpinus-native,68,,native congener,native
horse chestnut,aesculus,non-native,native,deciduous,Sapindaceae,32,0,32,aesculus-exotic,5.76,,exotic congener,exotic congener
hydrangea,hydrangea,non-native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-exotic,0.9,,exotic congener,exotic congener
hydrangea (native),hydrangea,native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-native,5,,native congener,native
hydrangea lacecap,hydrangea,non-native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-exotic,0.9,Viburnum furcatum,exotic congener,exotic congener
hydrangea macrophylla,hydrangea,non-native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-exotic,0.9,,exotic congener,exotic congener
hydrangea snowcap,hydrangea,non-native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-exotic,0.9,hydrangea heteromalla,exotic congener,exotic congener
ilex sp.,ilex,unknown,native,conifer,Aquifoliaceae,39,5,34,ilex-unknown,39,,unknown,unknown
inkberry,ilex,native,native,deciduous,Aquifoliaceae,39,5,34,ilex-native,39,,native congener,native
irish ivy,hedera,non-native,non-native,deciduous,Araliaceae,3,0,3,hedera-exotic,3,,exotic,exotic
ironwood,carpinus,native,native,deciduous,Betulaceae,68,2,66,carpinus-native,68,,native,native
japanese angelica tree,aralia,non-native,native,deciduous,Araliaceae,8,1,7,aralia-native,1.44,,exotic congener,exotic congener
japanese cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
japanese cypress,chamaecyparis,non-native,native,conifer,Cupressaceae,8,0,8,chamaecyparis-exotic,1.44,,exotic,exotic congener
japanese holly,ilex,non-native,native,conifer,Aquifoliaceae,39,5,34,ilex-exotic,7.02,box-leaved holly,exotic congener,exotic congener
japanese honeysuckle,lonicera,non-native,native,deciduous,Caprifoliaceae,37,4,33,lonicera-exotic,6.66,,exotic congener,exotic congener
japanese maple,acer,non-native,native,deciduous,Sapindaceae,297,10,287,acer-exotic,53.46,,exotic congener,exotic congener
japanese pagoda tree,styphnolobium,non-native,non-native,deciduous,Fabaceae,0,0,0,styphnolobium-non-native,0,,exotic,exotic
japanese persimmon,diospyros,non-native,native,deciduous,Ebenaceae,46,2,44,diospyros-exotic,8.28,,exotic congener,exotic congener
japanese skimmia,skimmia,non-native,non-native,deciduous,Rutaceae,0,0,0,skimmia-exotic,0,leps from HOSTS,exotic,exotic
japanese snowbell,styrax,non-native,native,deciduous,Styracaceae,0,0,0,styrax-exotic,0,,exotic,exotic congener
japanese tree lilac,syringa,non-native,non-native,deciduous,Oleaceae,40,5,35,syringa-exotic,40,,exotic,exotic
jimsonweed,datura,non-native,native,deciduous,Solanaceae,10,1,9,datura-non-native,1.8,,exotic,exotic congener
jujube,ziziphus,non-native,non-native,deciduous,Rhamnaceae,3,.,.,ziziphus-exotic,3,leps from HOSTS,exotic,exotic
juniper,juniperus,native,native,conifer,Cupressaceae,42,5,37,juniperus-native,42,changed from non-native to native as per DT,native congener,native
katsura tree,cercidiphyllum,non-native,non-native,deciduous,Cercidiphyllaceae,0,0,0,cercidiphyllum-exotic,0,,exotic,exotic
kentucky coffeetree,gymnocladus,native,native,deciduous,Fabaceae,5,1,4,gymnocladus-native,5,,native,native
