site,date,point,treespp,treespp_format,check,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6,dbh7,dbh8,dbh9,dbh10,dbh11,dbh12,dbh13,dbh14,dbh15,dbh16,dbh17,dbh18,dbh19,dbh20,dbh21,dbh22,height,height_to_crown,Width1,width2,Condition,notes,year,notes
lewikatmd1,6/28/2014,1,mulberry,mulberry,mulberry,27,8,10,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1,3,3,.,.,2014,
lewikatmd1,6/28/2014,1,black locust,black locust,black locust,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,15,8,3,.,.,2014,
lewikatmd1,6/28/2014,1,black walnut,black walnut,black walnut,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,25,10,5,.,.,2014,
lewikatmd1,6/28/2014,1,black walnut,black walnut,black walnut,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,15,3,3,.,.,2014,
lewikatmd1,6/28/2014,1,black walnut,black walnut,black walnut,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,10,3,3,.,.,2014,
lewikatmd1,6/28/2014,2,red oak,red oak,red oak,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1,1,0.5,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,25,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,1,6,5,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,15,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,10,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,2,2,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,2,2,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,2,2,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,2,2,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,3,3,d,.,2014,
lewikatmd1,6/28/2014,3,snag,snag,snag,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,snag,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,2,2,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,10,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,sassafras,sassafras,sassafras,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,0.25,4,4,p,.,2014,
lewikatmd1,6/28/2014,3,sassafras,sassafras,sassafras,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,1.5,1.5,p,.,2014,
lewikatmd1,6/28/2014,3,leyland cypress,leyland cypress,leyland cypress,25,15,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1,5,5,s,.,2014,
lewikatmd1,6/28/2014,3,boxelder,boxelder,boxelder,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,1,6,6,p,.,2014,
lewikatmd1,6/28/2014,3,black cherry,black cherry,black cherry,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,1,6,6,p,.,2014,
lewikatmd1,6/28/2014,3,black cherry,black cherry,black cherry,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,5,3,3,p,.,2014,
lewikatmd1,6/28/2014,3,red maple,red maple,red maple,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,8,6,6,p,.,2014,
lewikatmd1,6/28/2014,3,boxelder,boxelder,boxelder,10,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0,12,10,d,.,2014,
lewikatmd1,6/28/2014,3,red maple,red maple,red maple,45,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,0,6,6,d,.,2014,
lewikatmd1,6/28/2014,4,sassafras,sassafras,sassafras,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,1.75,6,6,r,.,2014,
lewikatmd1,6/28/2014,4,boxelder,boxelder,boxelder,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,1.5,6,6,d,.,2014,
lewikatmd1,6/28/2014,4,black locust,black locust,black locust,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,15,7,8,r,.,2014,
lewikatmd1,6/28/2014,4,boxelder,boxelder,boxelder,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,1.75,6,6,d,.,2014,
lewikatmd1,6/28/2014,4,black locust,black locust,black locust,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,12,3,3,d,.,2014,
lewikatmd1,6/28/2014,4,boxelder,boxelder,boxelder,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,4,4,4,r,.,2014,
lewikatmd1,6/28/2014,4,sassafras,sassafras,sassafras,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,3,6,4,r,.,2014,
lewikatmd1,6/28/2014,4,sassafras,sassafras,sassafras,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,5.5,6,5,r,.,2014,
lewikatmd1,6/28/2014,4,sassafras,sassafras,sassafras,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,5,5,5,r,.,2014,
lewikatmd1,6/28/2014,4,sassafras,sassafras,sassafras,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,4,2,3,r,.,2014,
lewikatmd1,6/28/2014,4,boxelder,boxelder,boxelder,18,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,1.5,6,5,r,.,2014,
lewikatmd1,6/28/2014,4,tulip tree,tulip tree,tulip tree,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,6,10,8,p,.,2014,
lewikatmd1,6/28/2014,4,black cherry,black cherry,black cherry,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,1.5,5,5,p,.,2014,
lewikatmd1,6/28/2014,4,plum,plum,plum,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,6,5,s,.,2014,
lewikatmd1,6/28/2014,4,bush honeysuckle,bush honeysuckle,bush honeysuckle,5,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1.5,4,4,s,.,2014,
lewikatmd1,6/28/2014,4,ash sp.,ash sp.,ash sp.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,5,4,r,.,2014,g ash
lewikatmd1,6/28/2014,4,tulip tree,tulip tree,tulip tree,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,9,15,15,r,.,2014,
lewikatmd1,6/28/2014,4,flowering dogwood,flowering dogwood,flowering dogwood,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,2,4,2,d,.,2014,
lewikatmd1,6/28/2014,4,snag,snag,snag,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,snag,.,2014,
liebjudmd1,6/8/2014,nestbox,red cedar,red cedar,red cedar,25,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1,5,5,p,.,2014,
liebjudmd1,6/8/2014,nestbox,american elm,american elm,american elm,15,10,20,10,10,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2.5,8,8,p,.,2014,
liebjudmd1,6/8/2014,nestbox,american elm,american elm,american elm,30,10,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,8,8,p,.,2014,
liebjudmd1,6/8/2014,nestbox,ornamental holly,ornamental holly,ornamental holly,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.5,0,2,2,p,.,2014,
liebjudmd1,6/8/2014,nestbox,flowering dogwood,flowering dogwood,flowering dogwood,30,15,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,3,5,5,p,.,2014,
liebjudmd1,6/8/2014,nestbox,eastern hemlock,eastern hemlock,eastern hemlock,20,25,25,15,30,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,12,6,p,.,2014,
liebjudmd1,6/8/2014,780 #4,red cedar,red cedar,red cedar,20,25,5,5,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,.,.,12,0.5,3,3,p,.,2014,
liebjudmd1,6/8/2014,780 #4,norway maple,norway maple,norway maple,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,1,1,p,.,2014,
liebjudmd1,6/8/2014,780 #4,mulberry,mulberry,mulberry,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.2,0.5,1,2,p,.,2014,
liebjudmd1,6/8/2014,780 #4,crape myrtle,crape myrtle,crape myrtle,10,8,7,5,8,8,7,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,0.75,14,3,p,.,2014,
liebjudmd1,6/8/2014,780 #4,black walnut,black walnut,black walnut,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,1,2,1,p,.,2014,
liebjudmd1,6/8/2014,780 #4,mulberry,mulberry,mulberry,10,3,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,0,3,3,p,.,2014,
liebjudmd1,6/8/2014,780 #4,red oak,red oak,red oak,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,2.5,8,8,p,.,2014,
liebjudmd1,6/8/2014,780 #4,deodar cedar,deodar cedar,deodar cedar,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,6,6,p,.,2014,diodar/atlas
liebjudmd1,6/8/2014,780 #4,unknown,unknown,unknown,6,10,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.75,4,4,p,.,2014,
liebjudmd1,6/8/2014,780 #4,red maple,red maple,red maple,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,1,3,3,p,.,2014,
liebjudmd1,6/8/2014,781 #4,american holly,american holly,american holly,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,2,3,3,p,.,2014,
liebjudmd1,6/8/2014,781 #4,flowering dogwood,flowering dogwood,flowering dogwood,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,3,7,7,p,.,2014,
liebjudmd1,6/8/2014,781 #4,american holly,american holly,american holly,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,3,6,6,p,.,2014,
liebjudmd1,6/8/2014,781 #4,flowering dogwood,flowering dogwood,flowering dogwood,30,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,1.5,9,6,p,.,2014,
liebjudmd1,6/8/2014,781 #4,japanese maple,japanese maple,japanese maple,10,8,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,3.5,3.5,p,.,2014,
liebjudmd1,6/8/2014,782 #4,red cedar,red cedar,red cedar,30,15,20,5,8,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,0,8,8,p,.,2014,
liebjudmd1,6/8/2014,782 #4,japanese maple,japanese maple,japanese maple,4,2,4,4,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.5,1.5,1.5,p,.,2014,
liebjudmd1,6/8/2014,782 #4,crape myrtle,crape myrtle,crape myrtle,3,1,3,3,3,3,1,1,1,6,.,.,.,.,.,.,.,.,.,.,.,.,4.5,0,2,2,p,.,2014,
liebjudmd1,6/8/2014,782 #4,flowering dogwood,flowering dogwood,flowering dogwood,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,2.5,5,5,p,.,2014,
liebjudmd1,6/8/2014,784 #4,flowering dogwood,flowering dogwood,flowering dogwood,10,8,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.5,2,3,3,.,.,2014,
liebjudmd1,6/8/2014,784 #4,choke cherry,choke cherry,choke cherry,8,6,8,8,8,8,8,8,8,16,.,.,.,.,.,.,.,.,.,.,.,.,8,2,6.5,7,p,.,2014,
liebjudmd1,6/8/2014,784 #4,japanese cherry,japanese cherry,japanese cherry,8,5,2,8,5,5,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1.5,3,3,p,.,2014,
liebjudmd1,6/8/2014,784 #4,redbud,redbud,redbud,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,1,5,3,p,.,2014,
liebjudmd1,6/8/2014,784 #4,japanese maple,japanese maple,japanese maple,15,10,8,5,10,10,10,8,5,.,.,.,.,.,.,.,.,.,.,.,.,.,7,0.5,6,6,p,.,2014,
liebjudmd1,6/8/2014,784 #4,red maple,red maple,red maple,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,8,8,p,.,2014,
liebjudmd1,6/8/2014,784 #4,flowering dogwood,flowering dogwood,flowering dogwood,20,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,7,7,p,.,2014,
liebjudmd1,6/8/2014,784 #4,redbud,redbud,redbud,5,4,2,4,4,2,2,2,2,20,.,.,.,.,.,.,.,.,.,.,.,.,3,0.5,3,3,p,.,2014,
liebjudmd1,6/8/2014,784 #4,ornamental rose,ornamental rose,ornamental rose,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,0,2,0.5,p,.,2014,
lindhanmd1,6/27/2014,nestbox,yellowwood,yellowwood,yellowwood,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1.5,6,6,p,.,2014,
lindhanmd1,6/27/2014,nestbox,oriental cedar,oriental cedar,oriental cedar,7,7,6,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0.5,2,2,.,.,2014,
lindhanmd1,6/27/2014,nestbox,boxwood,boxwood,boxwood,3.5,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,3,1.5,.,.,2014,
lindhanmd1,6/27/2014,nestbox,boxwood,boxwood,boxwood,4,3,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.5,1,2,2,.,.,2014,
lindhanmd1,6/27/2014,1,beech,beech,beech,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,2,8,8,unknown,.,2014,
lindhanmd1,6/27/2014,1,red oak,red oak,red oak,120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,11,25,25,unknown,.,2014,
lindhanmd1,6/27/2014,1,flowering dogwood,flowering dogwood,flowering dogwood,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,4,3.5,p,.,2014,
lindhanmd1,6/27/2014,1,flowering dogwood,flowering dogwood,flowering dogwood,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,4,3.5,p,.,2014,
lindhanmd1,6/27/2014,1,flowering dogwood,flowering dogwood,flowering dogwood,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,4,3.5,p,.,2014,
lindhanmd1,6/27/2014,1,flowering dogwood,flowering dogwood,flowering dogwood,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.5,6,3,p,.,2014,
lindhanmd1,6/27/2014,1,flowering dogwood,flowering dogwood,flowering dogwood,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,1.5,2,2,p,.,2014,
lindhanmd1,6/27/2014,2,ornamental holly,ornamental holly,ornamental holly,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,5,5,p,.,2014,hybrid am holly
lindhanmd1,6/27/2014,2,scarlet oak,scarlet oak,scarlet oak,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,7,13,13,p,.,2014,
lindhanmd1,6/27/2014,2,flowering dogwood,flowering dogwood,flowering dogwood,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,7,7,7,p,.,2014,
lindhanmd1,6/27/2014,2,flowering dogwood,flowering dogwood,flowering dogwood,25,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,7,7,7,p,.,2014,
lindhanmd1,6/27/2014,2,shingle oak,shingle oak,shingle oak,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,6,12,15,r,.,2014,
lindhanmd1,6/27/2014,2,ornamental holly,ornamental holly,ornamental holly,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,4,4,p,.,2014,hybrid holly
lindhanmd1,6/27/2014,2,red cedar,red cedar,red cedar,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1,3,3,p,.,2014,
lindhanmd1,6/27/2014,2,beech,beech,beech,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,15,15,r,.,2014,
lindhanmd1,6/27/2014,3,scarlet oak,scarlet oak,scarlet oak,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,6,14,12,unknown,.,2014,
lindhanmd1,6/27/2014,3,flowering dogwood,flowering dogwood,flowering dogwood,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,3,6,6,.,.,2014,
lindhanmd1,6/27/2014,3,ornamental holly,ornamental holly,ornamental holly,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,3,3,.,.,2014,
lindhanmd1,6/27/2014,3,ornamental holly,ornamental holly,ornamental holly,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,3,3,.,.,2014,
lindhanmd1,6/27/2014,4,white oak,white oak,white oak,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,1.25,20,18,unknown,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,1,6,6,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,american holly,american holly,american holly,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0.25,1,1,p,.,2014,
lindhanmd1,6/27/2014,4,katsura tree,katsura tree,katsura tree,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,2.5,10,10,p,.,2014,
lindhanmd1,6/27/2014,4,kousa dogwood,kousa dogwood,kousa dogwood,6,4,3,2,6,6,4,4,4,2,.,.,.,.,.,.,.,.,.,.,.,.,7,1,5,5,p,.,2014,
lindhanmd1,6/27/2014,4,crape myrtle,crape myrtle,crape myrtle,2,3,22,2,2,2,2,3,3,6,.,.,.,.,.,.,.,.,.,.,.,.,4,1.25,3,3,p,.,2014,
lucajilmd1,6/30/2014,nestbox,crape myrtle,crape myrtle,crape myrtle,6,12,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,2,4,4,p,.,2014,
lucajilmd1,6/30/2014,nestbox,red maple,red maple,red maple,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,8,10,10,r,.,2014,
lucajilmd1,6/30/2014,nestbox,ornamental holly,ornamental holly,ornamental holly,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,2,2,p,.,2014,
lucajilmd1,6/30/2014,nestbox,japanese maple,japanese maple,japanese maple,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,3,1.5,p,.,2014,
lucajilmd1,6/30/2014,nestbox,japanese maple,japanese maple,japanese maple,3,4,6,3,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,3,5,p,.,2014,
lucajilmd1,6/30/2014,nestbox,red cedar,red cedar,red cedar,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,0,1,1,p,.,2014,
lucajilmd1,6/30/2014,972 #4,crape myrtle,crape myrtle,crape myrtle,3,4,3,3,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,3,2,p,.,2014,
lucajilmd1,6/30/2014,972 #4,crape myrtle,crape myrtle,crape myrtle,3,4,3,3,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,3,2,p,.,2014,
lucajilmd1,6/30/2014,972 #4,privet,privet,privet,3,2,1,2,2,2,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1,4,1.5,p,.,2014,
lucajilmd1,6/30/2014,972 #4,saucercup magnolia,saucercup magnolia,saucercup magnolia,5,3,2,1,5,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0.5,5,2,p,.,2014,s/s magnolia
lucajilmd1,6/30/2014,972 #4,river birch,river birch,river birch,25,25,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,7,5,p,.,2014,
lucajilmd1,6/30/2014,973 #4,flowering dogwood,flowering dogwood,flowering dogwood,1,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1.5,2,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,flowering dogwood,flowering dogwood,flowering dogwood,22,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,3,5,5,p,.,2014,
lucajilmd1,6/30/2014,973 #4,ornamental holly,ornamental holly,ornamental holly,4,3,1,4,4,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,3,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,ornamental holly,ornamental holly,ornamental holly,4,3,1,4,4,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,3,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,ornamental holly,ornamental holly,ornamental holly,4,3,1,4,4,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,3,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,ornamental holly,ornamental holly,ornamental holly,4,3,1,4,4,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,3,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,ornamental holly,ornamental holly,ornamental holly,4,3,1,4,4,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,3,2,p,.,2014,
lucajilmd1,6/30/2014,973 #4,japanese maple,japanese maple,japanese maple,3,4,1,3,3,3,3,4,1,3,.,.,.,.,.,.,.,.,.,.,.,.,5,1,5,3,p,.,2014,
lucajilmd1,6/30/2014,974 #4,saucercup magnolia,saucercup magnolia,saucercup magnolia,28,22,28,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2.5,15,10,p,.,2014,s/s magnolia
lucajilmd1,6/30/2014,974 #4,ornamental holly,ornamental holly,ornamental holly,6,4,6,8,6,8,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,2,2,p,.,2014,
lucajilmd1,6/30/2014,974 #4,ornamental holly,ornamental holly,ornamental holly,6,4,6,8,6,8,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,2,2,p,.,2014,
lucajilmd1,6/30/2014,974 #4,ornamental holly,ornamental holly,ornamental holly,6,4,6,8,6,8,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,2,2,p,.,2014,
