site,date,point,treespp,treespp_format,check,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6,dbh7,dbh8,dbh9,dbh10,dbh11,dbh12,dbh13,dbh14,dbh15,dbh16,dbh17,dbh18,dbh19,dbh20,dbh21,dbh22,height,height_to_crown,Width1,width2,Condition,notes,year,notes
angeparva1,6/12/2014,nestbox,red maple,red maple,red maple,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,3,4,4,r,.,2014,
angeparva1,6/12/2014,nestbox,black cherry,black cherry,black cherry,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2.5,2,2,r,.,2014,
angeparva1,6/12/2014,1,ornamental holly,ornamental holly,ornamental holly,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,1.5,5,4,p,.,2014,
angeparva1,6/12/2014,1,white oak,white oak,white oak,40.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,10,8,r,.,2014,
angeparva1,6/12/2014,1,red cedar,red cedar,red cedar,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,4,4,r,.,2014,
angeparva1,6/12/2014,1,leyland cypress,leyland cypress,leyland cypress,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,3,5,5,p,.,2014,
angeparva1,6/12/2014,2,black locust,black locust,black locust,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,14,3,2,r,.,2014,
angeparva1,6/12/2014,2,tree of heaven,tree of heaven,tree of heaven,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,2,2,2,p,.,2014,
angeparva1,6/12/2014,2,tree of heaven,tree of heaven,tree of heaven,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,2,2,r,.,2014,
angeparva1,6/12/2014,2,snag,snag,snag,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,snag,.,2014,
angeparva1,6/12/2014,2,snag,snag,snag,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,snag,.,2014,
angeparva1,6/12/2014,2,snag,snag,snag,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,snag,.,2014,
angeparva1,6/12/2014,2,snag,snag,snag,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,snag,.,2014,
angeparva1,6/12/2014,2,tree of heaven,tree of heaven,tree of heaven,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1.5,1,p,.,2014,
angeparva1,6/12/2014,2,black cherry,black cherry,black cherry,23,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,4,3,3,r,.,2014,
angeparva1,6/12/2014,2,sycamore,sycamore,sycamore,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,6,8,8,p,.,2014,
angeparva1,6/12/2014,2,ironwood,ironwood,ironwood,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,3,3,r,.,2014,
angeparva1,6/12/2014,3,tree of heaven,tree of heaven,tree of heaven,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,3,3,p,filled in blank height based on other data,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,4,1,1.5,p,.,2014,
angeparva1,6/12/2014,3,catalpa,catalpa,catalpa,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,1.5,1.5,p,.,2014,
angeparva1,6/12/2014,3,mulberry,mulberry,mulberry,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,1.5,1.5,p,.,2014,
angeparva1,6/12/2014,3,ironwood,ironwood,ironwood,7.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1.5,2,2,p,.,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1,2,2,p,.,2014,
angeparva1,6/12/2014,3,black locust,black locust,black locust,25.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2,5,6,p,.,2014,
angeparva1,6/12/2014,3,sumac,sumac,sumac,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,1,1,p,.,2014,
