site,date,point,shrubspp,shrub_format,tree check,height,width,depth,notes,year
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1,1,1,.,2013
marrpetmd2,2013,marrpet-42,Butterfly Bush,Butterfly Bush,butterfly bush,2,0.75,1,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,2.5,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,butterfly bush,butterfly bush,butterfly bush,3,2,2,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,2.5,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,camellia,camellia,camellia,2,1.5,2,.,2013
marrpetmd2,2013,marrpet-42,heavenly bamboo (nandina),nandina,nandina,1.5,2,"1
1",.,2013
marrpetmd2,2013,marrpet-42,euonymous spp.,euonymus,euonymus,0.75,2.5,1,.,2013
marrpetmd2,2013,marrpet-42,azaleas,azalea,azalea,0.5,0.75,0.5,.,2013
marrpetmd2,2013,marrpet-42,laurel spp.,cherry laurel,cherry laurel,1.75,0.5,2.5,.,2013
marrpetmd2,2013,marrpet-42,laurel spp.,cherry laurel,cherry laurel,1,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,2.5,1,0.75,.,2013
marrpetmd2,2013,marrpet-42,hydrangea,hydrangea,hydrangea,1.5,1,0.5,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1.5,1,0.5,.,2013
marrpetmd2,2013,marrpet-42,butterfly bush,butterfly bush,butterfly bush,2,1.25,1.25,.,2013
marrpetmd2,2013,marrpet-42,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,1.5,1.5,"0.7",.,2013
marrpetmd2,2013,marrpet-nest,butterfly bush,butterfly bush,butterfly bush,1,2,1,.,2013
marrpetmd2,2013,marrpet-nest,butterfly bush,butterfly bush,butterfly bush,1.5,0.5,1,.,2013
marrpetmd2,2013,marrpet-nest,butterfly bush,butterfly bush,butterfly bush,2.5,1,1,.,2013
marrpetmd2,2013,marrpet-nest,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,2.5,2.75,1.5,.,2013
marrpetmd2,2013,marrpet-nest,maple-leaf hydrangea,oakleaf hydrangea,oakleaf hydrangea,2,2,1.5,.,2013
marrpetmd2,2013,marrpet-nest,euonymous spp.,euonymus,euonymus,4,2.5,2.5,.,2013
marrpetmd2,2013,marrpet-nest,hydrangea,hydrangea,hydrangea,1,1.5,1,.,2013
marrpetmd2,2013,marrpet-nest,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,2,1,1,.,2013
marrpetmd2,2013,marrpet-nest,viburnum spp.,Viburnum sp.,viburnum sp.,1.75,3,1.5,.,2013
marrpetmd2,2013,marrpet-nest,japanese aucuba (Sawtoothed),aucuba japonica,aucuba japonica,1.5,2,"1
1",.,2013
marrpetmd2,2013,marrpet-nest,rose of sharon,rose of sharon,rose of sharon,1.5,1.5,0.5,.,2013
marrpetmd2,2013,marrpet-nest,unknown ornamental shrub,unknown ornamental shrub,unknown ornamental shrub,2,2,1,.,2013
marrpetmd2,2013,marrpet-nest,northern white cedar,northern white cedar,northern white cedar,2,1.5,1.5,.,2013
marrpetmd2,2013,marrpet-nest,heavenly bamboo (nandina),nandina,nandina,2,2,1,.,2013
marrpetmd2,2013,marrpet-nest,american holly,american holly,american holly,1.75,0.75,0.75,.,2013
marrpetmd2,2013,marrpet-nest,ornamental holly varieties,ornamental holly,ornamental holly,0.5,1,0.75,.,2013
marrpetmd2,2013,marrpet-nest,heavenly bamboo (nandina),nandina,nandina,1.5,0.75,0.75,.,2013
marrpetmd2,2013,marrpet-68,hydrangea,hydrangea,hydrangea,2.5,1.5,1,.,2013
marrpetmd2,2013,marrpet-68,butterfly bush,butterfly bush,butterfly bush,1.5,1.5,1,.,2013
marrpetmd2,2013,marrpet-68,boxwood,boxwood,boxwood,2.5,2.5,0.75,.,2013
marrpetmd2,2013,marrpet-68,lilac,lilac,lilac,0.8,0.75,0.75,.,2013
marrpetmd2,2013,marrpet-68,redbud (eastern),redbud,redbud,0.5,0.75,0.75,.,2013
marrpetmd2,2013,marrpet-68,azaleas,azalea,azalea,0.5,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-30,azaleas,azalea,azalea,1,1,1,.,2013
marrpetmd2,2013,marrpet-30,azaleas,azalea,azalea,1,2,1,.,2013
marrpetmd2,2013,marrpet-30,rhododendron spp.,rhododendron,rhododendron,1,1.5,0.75,.,2013
marrpetmd2,2013,marrpet-30,heavenly bamboo (nandina),nandina,nandina,2,1.5,1.5,.,2013
marrpetmd2,2013,marrpet-30,azaleas,azalea,azalea,0.5,2,1.5,.,2013
marrpetmd2,2013,marrpet-30,azaleas,azalea,azalea,0.5,0.5,3,.,2013
marrpetmd2,2013,marrpet-30,azaleas,azalea,azalea,0.75,1,0.75,.,2013
marrpetmd2,2013,marrpet-1,azaleas,azalea,azalea,1,1,0.5,.,2013
marrpetmd2,2013,marrpet-1,rose of sharon,rose of sharon,rose of sharon,1,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-1,azaleas,azalea,azalea,0.5,1.5,0.5,.,2013
marrpetmd2,2013,marrpet-1,burning bush,burning bush,burning bush,1,2,1,.,2013
marrpetmd2,2013,marrpet-1,rose of sharon,rose of sharon,rose of sharon,2.5,1,0.5,.,2013
marrpetmd2,2013,marrpet-1,privet,privet,privet,0.75,0.75,0.5,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,1,1,0.75,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,0.5,0.75,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.75,1,1,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,2,1,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,0.5,0.5,.,2013
marrpetmd2,2013,marrpet-17,boxwood,boxwood,boxwood,0.5,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsal-nesttube,rose spp. (ornamental),ornamental rose,ornamental rose,1,1.5,8,.,2013
rohrsalmd1,2013,rohrsal-nesttube,boxwood,boxwood,boxwood,1,3,"6",.,2013
rohrsalmd1,2013,rohrsal-nesttube,hydrangea,hydrangea,hydrangea,1.5,7,2.5,.,2013
rohrsalmd1,2013,rohrsal-nesttube,boxwood,boxwood,boxwood,0.8,1,1,.,2013
rohrsalmd1,2013,rohrsal-nesttube,boxwood,boxwood,boxwood,1.5,3,2,.,2013
rohrsalmd1,2013,rohrsal-nesttube,boxwood,boxwood,boxwood,0.8,1,1,.,2013
rohrsalmd1,2013,rohrsal-nesttube,boxwood,boxwood,boxwood,2.5,7,1.5,.,2013
stewbetmd1,2013,stewbet-17,red cedar (eastern),red cedar,red cedar,3,0.75,1,.,2013
singdadmd1,2013,singdad-west,witchhazel,witchhazel,witchhazel,1.75,1.25,1,.,2013
singdadmd1,2013,singdad-west,rhododendron spp.,rhododendron,rhododendron,1.75,2.25,2,.,2013
singdadmd1,2013,singdad-north,laurel spp.,cherry laurel,cherry laurel,2,2.5,2.5,.,2013
singdadmd1,2013,singdad-north,viburnum spp.,Viburnum sp.,viburnum sp.,1.75,1.5,1,.,2013
singdadmd1,2013,singdad-north,laurel spp.,cherry laurel,cherry laurel,1.5,2,1.5,.,2013
singdadmd1,2013,singdad-north,boxwood,boxwood,boxwood,1.5,1,1,.,2013
singdadmd1,2013,singdadmd1-north,laurel spp.,cherry laurel,cherry laurel,2,2.5,2.5,.,2013
singdadmd1,2013,singdadmd1-north,viburnum spp.,Viburnum sp.,viburnum sp.,1.75,1.5,1,.,2013
singdadmd1,2013,singdadmd1-north,laurel spp.,cherry laurel,cherry laurel,1.5,2,1.5,.,2013
singdadmd1,2013,singdadmd1-north,boxwood,boxwood,boxwood,1.5,1,1,.,2013
raunerimd2,2013,rauneri-nestbox,bamboo,bamboo,bamboo,10,6,10,.,2013
raunerimd2,2013,rauneri-nestbox,bamboo,bamboo,bamboo,10,4,6,.,2013
raunerimd2,2013,rauneri-nestbox,bamboo,bamboo,bamboo,10,2,5,.,2013
raunerimd2,2013,rauneri-nestbox,bamboo,bamboo,bamboo,10,3,5,.,2013
raunerimd2,2013,rauneri-nestbox,bamboo,bamboo,bamboo,8,3,5,.,2013
raunerimd2,2013,raunerimd1-27,bamboo,bamboo,bamboo,4,1,0.5,.,2013
raunerimd2,2013,raunerimd1-27,bamboo,bamboo,bamboo,4,3,0.5,.,2013
raunerimd2,2013,raunerimd1-27,bamboo,bamboo,bamboo,10,5,7,.,2013
raunerimd2,2013,raunerimd1-27,bamboo,bamboo,bamboo,10,7,3,.,2013
raunerimd2,2013,raunerimd1-27,butterfly bush,butterfly bush,butterfly bush,2.5,4,1,.,2013
raunerimd2,2013,raunerimd1-27,bamboo,bamboo,bamboo,10,4,6,.,2013
raunerimd2,2013,raunerimd1-27,ash spp.,ash sp.,ash sp.,0.5,0.25,0.25,.,2013
raunerimd2,2013,raunerimd1-27,spruce spp.,blue spruce,blue spruce,0.75,0.25,0.2,.,2013
raunerimd2,2013,raunerimd1-27,butterfly bush,butterfly bush,butterfly bush,1.5,1,1,.,2013
cameparva1,2013,camepar-nestbox,viburnum (chindo),chindo viburnum,chindo viburnum,2,1.5,1,.,2013
cameparva1,2013,camepar-nestbox,rose of sharon,rose of sharon,rose of sharon,1,0.5,0.25,.,2013
cameparva1,2013,camepar-nestbox,poison ivy,poison ivy,poison ivy,4,1,0.5,.,2013
cameparva1,2013,camepar-nestbox,black cherry,black cherry,black cherry,1,1,1,.,2013
cameparva1,2013,camepar-nestbox,viburnum (chindo),chindo viburnum,chindo viburnum,3,1,2,.,2013
myerbrumd1,2013,myerbru-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2,1.5,1,.,2013
myerbrumd1,2013,myerbru-nestbox,rose of sharon,rose of sharon,rose of sharon,1,0.5,0.25,.,2013
myerbrumd1,2013,myerbru-nestbox,poison ivy,poison ivy,poison ivy,4,1,0.5,.,2013
myerbrumd1,2013,myerbru-nestbox,black cherry,black cherry,black cherry,1,1,1,.,2013
myerbrumd1,2013,myerbru-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,3,1,2,.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,"1",1,"1",.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,2,3,2,.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,1,1,1,.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,2,3,2,.,2013
hopkbarmd1,2013,hopkbar-nestbox,japanese maple,japanese maple,japanese maple,1,2.5,0.5,.,2013
hopkbarmd1,2013,hopkbar-nestbox,red cedar (eastern),red cedar,red cedar,2.5,4,3.5,.,2013
hopkbarmd1,2013,hopkbar-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2,2,1,.,2013
hopkbarmd1,2013,hopkbar-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2,2,1,.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,1,4,2,.,2013
hopkbarmd1,2013,hopkbar-nestbox,azaleas,azalea,azalea,3,1.5,2,.,2013
hopkbarmd1,2013,hopkbar-nestbox,english yew,yew,yew,2,2.5,2,.,2013
huffchrva1-2,2013,huffchr-20,witchhazel,witchhazel,witchhazel,1.75,1,1.5,.,2013
huffchrva1-2,2013,huffchr-20,witchhazel,witchhazel,witchhazel,1.75,1,1.5,.,2013
huffchrva1-2,2013,huffchr-20,boxwood,boxwood,boxwood,1.25,1.25,3.3,.,2013
huffchrva1-2,2013,huffchr-20,boxwood,boxwood,boxwood,1,1,4.5,.,2013
huffchrva1-2,2013,huffchr-20,azaleas,azalea,azalea,1.25,0.5,3,.,2013
huffchrva1-2,2013,huffchr-20,barberry,barberry,barberry,0.5,0.6,0.6,.,2013
huffchrva1-2,2013,huffchr-20,barberry,barberry,barberry,0.5,0.5,0.7,.,2013
huffchrva1-2,2013,huffchr-20,american holly,american holly,american holly,3.25,3,2.5,.,2013
huffchrva1-2,2013,huffchr-20,azaleas,azalea,azalea,1.25,1.25,0.8,.,2013
huffchrva1-2,2013,huffchr-20,boxwood,boxwood,boxwood,2,1.5,2.5,.,2013
huffchrva1-2,2013,huffchr-20,azaleas,azalea,azalea,1.3,1.4,1.5,.,2013
huffchrva1-2,2013,huffchr-20,viburnum spp.,Viburnum sp.,viburnum sp.,2,1.8,0.8,.,2013
raunerimd2,2013,rauneri-27,bamboo,bamboo,bamboo,4,1,0.5,.,2013
raunerimd2,2013,rauneri-27,bamboo,bamboo,bamboo,4,3,0.4,.,2013
raunerimd2,2013,rauneri-27,bamboo,bamboo,bamboo,10,5,7,.,2013
raunerimd2,2013,rauneri-27,bamboo,bamboo,bamboo,10,7,3,.,2013
raunerimd2,2013,rauneri-27,butterfly bush,butterfly bush,butterfly bush,2.5,4,1,.,2013
raunerimd2,2013,rauneri-27,bamboo,bamboo,bamboo,10,4,6,.,2013
raunerimd2,2013,rauneri-27,ash spp.,ash sp.,ash sp.,0.5,0.25,0.25,.,2013
raunerimd2,2013,rauneri-27,spruce spp.,blue spruce,blue spruce,0.75,0.25,0.2,.,2013
raunerimd2,2013,rauneri-27,butterfly bush,butterfly bush,butterfly bush,1.5,1,1,.,2013
huffchrva1-1,2013,huffchr-4,barberry,barberry,barberry,1,0.3,0.3,.,2013
huffchrva1-2,2013,huffchr2-1,boxwood,boxwood,boxwood,1.5,2,2,.,2013
huffchrva1-2,2013,huffchr2-1,boxwood,boxwood,boxwood,1.5,2,2,.,2013
huffchrva1-2,2013,huffchr2-1,boxwood,boxwood,boxwood,1.5,2,2,.,2013
huffchrva1-2,2013,huffchr2-4,barberry,barberry,barberry,1,0.3,0.3,.,2013
huffchrva1-1,2013,huffchr-6,multi-flora rose,multiflora rose,multiflora rose,1.5,1,2,.,2013
huffchrva1-1,2013,huffchr-6,multi-flora rose,multiflora rose,multiflora rose,0.5,1,0.75,.,2013
huffchrva1-1,2013,huffchr-6,"blueberry (highbush, lowbush)",lowbush blueberry,lowbush blueberry,2.5,4,3,.,2013
huffchrva1-2,2013,huffchr2-18,multi-flora rose,multiflora rose,multiflora rose,0.5,0.5,0.25,.,2013
singdadmd1,2013,singdad-east,english yew,yew,yew,2,1.5,1.5,.,2013
giraangmd1,2013,giraang-north,laurel spp.,cherry laurel,cherry laurel,2,3,2,.,2013
giraangmd1,2013,giraang-north,rhododendron spp.,rhododendron,rhododendron,1.5,1,2,.,2013
giraangmd1,2013,giraang-north,rhododendron spp.,rhododendron,rhododendron,2,1.5,1.5,.,2013
giraangmd1,2013,giraang-north,boxwood,boxwood,boxwood,1.5,1.5,7,.,2013
giraangmd1,2013,giraang-north,barberry,barberry,barberry,1.25,1.5,6,.,2013
marrpetmd2,2013,marrpet-42,lilac,lilac,lilac,2.5,2,1,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,13,1.5,1.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,2,2,2,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,2,2,2,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,2,2,2,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,2,2,2,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,2,2,2,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,1,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,1,1,1,.,2013
buisnorva1,2013,buisnorva1-nestbox,azaleas,azalea,azalea,0.5,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,azaleas,azalea,azalea,0.5,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,azaleas,azalea,azalea,0.5,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,mockernut hickory,mockernut hickory,mockernut hickory,1,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,white oak,white oak,white oak,1.5,0.5,0.5,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,0.75,0.5,1,.,2013
buisnorva1,2013,buisnorva1-nestbox,mountain laurel,mountain laurel,mountain laurel,0.75,0.5,1,.,2013
buisnorva1,2013,buisnorva1-nestbox,black oak,black oak,black oak,1.25,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsalmd1-west,rose spp. (ornamental),ornamental rose,ornamental rose,1,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsalmd1-west,rose spp. (ornamental),ornamental rose,ornamental rose,1,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsalmd1-west,rose spp. (ornamental),ornamental rose,ornamental rose,1,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsalmd1-west,fig Tree,fig,fig,2,2.5,6,.,2013
rohrsalmd1,2013,rohrsalmd1-west,english yew,yew,yew,2,2.5,5,.,2013
rohrsalmd1,2013,rohrsalmd1-west,boxwood,boxwood,boxwood,2,2,4,.,2013
rohrsalmd1,2013,rohrsalmd1-west,oriental bittersweet,oriental bittersweet,oriental bittersweet,1,2,3,.,2013
rohrsalmd1,2013,rohrsal-north,boxwood,boxwood,boxwood,1.5,3,2,.,2013
rohrsalmd1,2013,rohrsal-north,boxwood,boxwood,boxwood,1,5,1,.,2013
rohrsalmd1,2013,rohrsal-north,boxwood,boxwood,boxwood,1.25,1,1,.,2013
rohrsalmd1,2013,rohrsal-north,boxwood,boxwood,boxwood,1.25,1,1,.,2013
rohrsalmd1,2013,rohrsal-north,azaleas,azalea,azalea,0.5,1,1,.,2013
rohrsalmd1,2013,rohrsal-north,azaleas,azalea,azalea,2.25,3,2.5,.,2013
rohrsalmd1,2013,rohrsal-north,forthysia,forsythia,forsythia,2,2,2,.,2013
rohrsalmd1,2013,rohrsal-north,forthysia,forsythia,forsythia,2,2,2,.,2013
rohrsalmd1,2013,rohrsal-north,azaleas,azalea,azalea,2.5,2,1.5,.,2013
rohrsalmd1,2013,rohrsal-north,butterfly bush,butterfly bush,butterfly bush,2.5,0.5,1,.,2013
rohrsalmd1,2013,rohrsal-north,english yew,yew,yew,1.5,5,1.5,.,2013
rohrsalmd1,2013,rohrsal-north,hydrangea,hydrangea,hydrangea,3,3,2,.,2013
rohrsalmd1,2013,rohrsal-north,japanese aucuba (Sawtoothed),aucuba japonica,aucuba japonica,2.5,3,2,.,2013
rohrsalmd1,2013,rohrsal-north,laurel spp.,cherry laurel,cherry laurel,3.5,4,3,.,2013
rohrsalmd1,2013,rohrsal-south,"blueberry (highbush, lowbush)",lowbush blueberry,lowbush blueberry,2.5,5,2,.,2013
rohrsalmd1,2013,rohrsal-south,english yew,yew,yew,2,6,2,.,2013
rohrsalmd1,2013,rohrsal-south,camellia,camellia,camellia,0.75,0.5,0.5,.,2013
rohrsalmd1,2013,rohrsal-south,rose spp. (ornamental),ornamental rose,ornamental rose,3,1,0.5,.,2013
rohrsalmd1,2013,rohrsal-south,azaleas,azalea,azalea,0.25,0.25,0.25,.,2013
rohrsalmd1,2013,rohrsal-south,azaleas,azalea,azalea,0.25,0.25,0.25,.,2013
rohrsalmd1,2013,rohrsal-south,viburnum spp.,Viburnum sp.,viburnum sp.,1,1,1,.,2013
rohrsalmd1,2013,rohrsal-south,boxwood,boxwood,boxwood,1.5,1,1,.,2013
rohrsalmd1,2013,rohrsal-east,viburnum spp.,Viburnum sp.,viburnum sp.,3,2.5,2.5,.,2013
rohrsalmd1,2013,rohrsal-east,red oak,red oak,red oak,1.25,0.25,0.25,.,2013
traupatva2,2013,traupatva2-nestbox,devil's walking stick,devil's walking stick,devil's walking stick,1.5,1,1,.,2013
traupatva2,2013,traupatva2-nestbox,"rubus spp. (blackberry, rasberry)",rubus sp.,rubus sp.,1,2,1,.,2013
giraangmd1,2013,giraang-south,multi-flora rose,multiflora rose,multiflora rose,1,2,1,.,2013
giraangmd1,2013,giraang-south,bush honeysuckle (Lonicera spp.),bush honeysuckle,bush honeysuckle,1,0.5,0.5,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,1,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,redbud (eastern),redbud,redbud,1,0.5,0.5,.,2013
giraangmd1,2013,giraang-south,multi-flora rose,multiflora rose,multiflora rose,2,3,4,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,".25",0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,".5",0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,".5",0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-south,spicebush,spicebush,spicebush,0.5,0.25,0.25,.,2013
giraangmd1,2013,giraang-east,boxwood,boxwood,boxwood,1.75,1.5,7,.,2013
giraangmd1,2013,giraang-east,boxwood,boxwood,boxwood,0.5,0.5,0.5,.,2013
giraangmd1,2013,giraang-east,barberry,barberry,barberry,0.5,0.5,4,.,2013
giraangmd1,2013,giraang-nestbox,bush honeysuckle (Lonicera spp.),bush honeysuckle,bush honeysuckle,3,3.5,2,.,2013
giraangmd1,2013,giraang-nestbox,bush honeysuckle (Lonicera spp.),bush honeysuckle,bush honeysuckle,0.75,1,1,.,2013
giraangmd1,2013,giraang-nestbox,burning bush,burning bush,burning bush,1,1,1,.,2013
giraangmd1,2013,giraang-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2,1,0.75,.,2013
giraangmd1,2013,giraang-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2,1,0.5,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,0.75,0.25,0.5,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,1,0.5,1.5,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,2,1.5,0.75,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,1.5,0.75,3,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,0.75,0.5,0.5,.,2013
giraangmd1,2013,giraang-nestbox,spicebush,spicebush,spicebush,1,0.5,3,.,2013
giraangmd1,2013,giraang-west,privit,privet,privet,2,1,1,.,2013
giraangmd1,2013,giraang-west,multi-flora rose,multiflora rose,multiflora rose,0.5,0.5,0.5,.,2013
giraangmd1,2013,giraang-west,spicebush,spicebush,spicebush,1,0.5,0.5,.,2013
giraangmd1,2013,giraang-west,barberry,barberry,barberry,1.5,1,1,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,2,1.25,1,.,2013
cameparva1,2013,camepar-nestbox,laurel spp.,cherry laurel,cherry laurel,2.25,3,0.25,.,2013
cameparva1,2013,camepar-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,2.5,2.5,2,.,2013
cameparva1,2013,camepar-nestbox,japanese cherry Spp.,japanese cherry,japanese cherry,1.5,1.5,1,.,2013
cameparva1,2013,camepar-nestbox,forthysia,forsythia,forsythia,2,4,1,.,2013
cameparva1,2013,camepar-nestbox,bush honeysuckle (Lonicera spp.),bush honeysuckle,bush honeysuckle,2.5,3,1,.,2013
cameparva1,2013,camepar-nestbox,dogwood spp.,dogwood sp.,dogwood sp.,4,6,1.5,.,2013
cameparva1,2013,camepar-nestbox,english yew,yew,yew,1.5,1,0.8,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,".75",0.75,0.75,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,0.75,0.75,0.75,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,0.75,0.75,0.75,.,2013
cameparva1,2013,camepar-nestbox,hydrangea,hydrangea,hydrangea,0.75,1,1,.,2013
cameparva1,2013,camepar-nestbox,bush honeysuckle (Lonicera spp.),bush honeysuckle,bush honeysuckle,4,1,0.5,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,1.5,2.5,2,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,0.5,0.75,0.5,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,0.5,0.75,0.5,.,2013
giraangmd1,2013,giraang-nestbox,multi-flora rose,multiflora rose,multiflora rose,1.75,1,0.75,.,2013
cameparva1,2013,camepar-nestbox,viburnum spp.,Viburnum sp.,viburnum sp.,1,2,1,.,2013
cameparva1,2013,camepar-nestbox,spicebush,spicebush,spicebush,1,1,0.5,.,2013
cameparva1,2013,camepar-nestbox,privet,privet,privet,1.25,1,1,.,2013
cameparva1,2013,camepar-nestbox,hydrangea,hydrangea,hydrangea,1.5,2,2,.,2013
cameparva1,2013,camepar-nestbox,azaleas,azalea,azalea,0.5,0.8,0.8,.,2013
cameparva1,2013,camepar-nestbox,japanese aucuba (Sawtoothed),aucuba japonica,aucuba japonica,".75",0.5,0.5,.,2013
vongjenmd1,2013,vongjen-nestbox,azaleas,azalea,azalea,2,1.25,1,.,2013
vongjenmd1,2013,vongjen-nestbox,laurel spp.,cherry laurel,cherry laurel,2.25,3,0.25,.,2013
